essay_ID,ESSAY,SCORE
199510550523200913,我以前在台湾的時候讨谈过“安乐死”我说赞成“安乐死”还有如果我也得了一种不治之症，一定选择自杀。我认为这樣對每個人好得多。有一個人一直生病的时候，有可能性恢復没关係雖然家人还有放邊的人覺得很辛苦，但他们有希望，所以不会那么难过。可是得了一种不治之症的话，没有希望也没有可能性。而且病人一直在看病，吃藥什么的，家人一定覺得负擔。這樣一後病人結局死了，你们想一想留下來的家人。他们一定没有力量，心里也没有力量，而且没有錢。那么他们的生活也是乱七八糟的。很难划一前的平情。我的生活不是我自己個人的。还有我们可以想病人的立场。大概病人也不願意太多久受到苦通的时间。他也結局碰到死，可能願意早一点儿死了。如果結局死了，不必感覚苦通。他死了當时，家人难过，可是更容易早划到正常的生活。我想差不多这樣。我主張現在政府要承认“安乐死”。,60.0
200405204525200170,"我完成同意这一项规定。我们已经知道吸烟怎么对身体不好。这不仅仅是吸烟的人的问题，周围的人也受到了不良的影响。近年来，吸烟的人的年龄越来越年轻化。看来，中国是吸烟人数比较多，而且以前没有对吸烟者明确的法律，所以大家想吸就吸。不考虑一切。我休息的时候常常去南京东路逛街。那时候每次对吸烟者感到不满。因为那里人很多，特别是休息日的南京东路是人海。这样的情况里有吸烟的人的话，很不危险。听说在中国有一个人一边吸烟，一边走路。他旁边有小孩子。他一不小心他的烟碰到孩子的眼睛。那个小孩子失明了。虽然很小的火，但很有力量。再也不要发生这样的事，对吸烟者有规定。
 我已经上述提到了，中国是吸烟者比较多。这是中国的传统观念有关。所以上一代的男性多会抽烟，而且抽得很历害。现代年轻人吸烟的原因是父母亲有关。所以如果父母亲尊守政府出台的这一项规定的话，他们的孩子也有对吸烟的看法有所改变的，甚至有可能指导孩子不吸烟的之道。
 我上述说的种种原因米，支持这一项规定。",65.0
200307109523200178,"“食”是与“衣”和“住”为了维持基本生活必不可少的重要成分。
 关于这个问题，我认为解决饥饿是第一位的问题。尽管健康也是倍受青睐的话题，但生命具有跟任何其他东西也比不了的重要性。如果你看到天天挨饿的非州孩子们，就会知道解饥饿是刻不容缓的问题。虽然健康地生活也是我们能享受的巨大幸福，但是没有生命，就一切都没有了。我们应该关注这一点。
 那么，我们应该怎样解这个问题呢？答案在于“科技”。我们应该采用科技处理两个方面的问题。第一，科学家为了人类的健康应该研究有害物质较少的农药和化肥。第二，我们注力强化农作物对害虫的免疫力，改良品种，以便产生大量的绿色食品的理想变成现实。
 综上所述，不吃就不能活，所以我们应该依靠科学技述来实现全部人类健康地生活的 ",80.0
200307205525100023,"我认为不挨饿是第一位。因为人类的生活中，吃是最重要的一部份.如果没有食品的稳定供应就会发生很大的问题。像我祖国日本、虽然有农业但大多数的农产品都由国外进口的。一旦发生自然災害、就所有的农业产品受到价格上、物流上等各种问题。也有过一次因为日本国内发生大米生产不理想、政府决定把大米从国外进口、弥补了日本国内的大米供应。像日本这么小的国家、人们生活中必需需要的食品因为大多数靠进口的、首先要考虑它的稳定性。但不能不看化肥造成的污染。最近在媒体上看到有一个报到说、长期食用这种食品会导致癌种等疾病。农产品的稳定供应也得考虑但今后希望有关部门对此问题不断地改善。应该怎么样解决这个问题？我认为化肥和有机生产方法的优点结合起来、尽可能少用化肥生产农产品。当然供应土要追求稳定性、还要考虑它的价格.但希望这问题能决解，我希望能放心地吃食品.
 ",70.0
200307302523200023,"现在能饱满肚子的时代里，出现着一个问题——绿色食品与饥饿。有的人不管食物的营养成分而只为了饱满饥饿而选择经过化学加工的食品。但我认为我们首先要想的是人体健康，吃“绿色食品”则占第一位。
 我们知道经化肥、农药等化学成分能提高生产的产量，味道也较好以至于促进我们的食欲。我们又知道它的弊处，就是能消去物质本身就有的丰富的营养成分，如果吃错了，人体会受危害。而“绿色食品”，则和它相反，不经过化学物质、保持原固有的营养，有利于人体健康。
 我们在离我们身边不远处都能发现，国家积极号召用绿色食品。你将能看到印着“绿色食品”的牛奶、面条以及意想不到的东西。这一小物品来就能证明“绿色食品”的重要性。
 我认为不仅仅是为了保持身体健康、吸收营养也为保护我们的家乡——地球而要使用绿色食品.使用绿色食品不污染环境、并且能保护我们的生态环境.而化学加工品却不是.但我们生活中多数见的是化学加工品，我们也不能否认，我们不用它们。所以我认为我们用化学加工物品，但尽量不用它们。要想饱满饥饿的肚子，尽量使用绿色食品、少使用化学加工品， 样“一石二乌”，又能饱满肚子，又能保护我们的美好家乡——地球，让我们共同享受美丽的生活.
 （）",70.0
200105204525200029,"我寒假的时候去了老挝。这次去老挝是看看冬天的时候的风景，还加一个目的看我干哥哥，我已经去过老挝是夏天的时候，这次我坐汽车去的，坐汽车的话大概5天就到首都。
 我和朋友们到了老挝感觉舒服、很高兴。对我来说老挝是第二个故乡一样，在老挝国家很合适我，连我的干哥哥也是老挝人嘛！朋友们呢？当然了他们的国家，回到自国就高兴了吧，我亲眼看见了冬天的老挝，跟夏天不一样冬天的时候下雨少，不太热。夏天就经常下大雨，很湿热的感觉。我比较喜欢冬天的老挝。我还喜欢去“早上的市场”在那儿都有，比如小吃，生活用品，衣服，老挝特产等买东西很方便。我在老挝一半的时间都去这个市场，我喜爱的东西在这儿可以买到的。还在老挝有名是水果。老挝是热带国家，所以有各种各样的水果而且比中国的3分之一就买到了。我也喜欢吃水果，每天吃好几种水果也不腻的。
 另一个目的看我干哥哥的事呢，我可以见到我干哥哥，他离开中国和我以后只写信，打电话联系的，所以他怎么样的样子不知道。差不多一年半的时间没见面，不是第一次见面知道他是我干哥哥。我见到他就不知不觉流了眼泪，因为我认为干哥哥把我忘了…。",75.0
200307302523100107,"现在的社会有很多的问题。而且这些问题常常相互矛盾。绿色食品和饥饿，这两个词的关系也是。
 二十一世纪的很多人们想吃饭不是像以前那么间单的。以前很多人不喜欢饿，只能吃些东西就可以。但现在人们需要又好吃，又多吃又对健康好的食品。绿色食品就能满足他们的需要。但是绿色食品产量不多、有点贵。所以对非州等到的国家来说，绿色食品是个重要的想法。
 绿色食品和饥饿的问题也能说是质量和产量的问题。如果很多人吃绿色食品的话，那么挨饿的人可能增多。反过来想，有钱，而且重视自己健康的人，有权力吃绿色食品。
 我想吃绿色食品和不挨饿中没有更重要的。我们应该同时进行。而且研究出绿色食品的产量增多的方法。这是很重要的。但是要研究出绿色食品的产量增多的方法可能需要很长的时间。所以我们同时进行使用化肥和农药产出大量的食品帮助正在饥饿中的人们。 
 人们很不喜欢饥饿，但也很重视健康，我们不能说哪是更重要。我们应该一边研究绿色食品的产量，一边热心帮助饥饿当中的人们，这是我对这问题的想法。
 （）",65.0
200310576525100006,"对于男女分班的问题社会广有争议。有的人认为男女分班可以避免学生早恋，还有的人认为这样的办法阻碍男女学生的互相理解。我认为后者比较合理
 首先，人与人之间最重要的就是互相理解。人们都通过交流才能互相理解。如果男女分班的话，男学生与女学生之间的交流就減少。这会导致对异性的知识缺乏。有人说早恋不好，可我认为恋爱也人生中的重要的一部分。通过恋爱，人们能知道很多事情。比如爱情是什么，理解别人是什么样的等等。跟异性的交流中，学生们可以成长。
 进一步来说，社会并不是男女分开的。比如，男女职工都在一个地方工作。如果学生的时候几乎没跟异性交流过的话，那么他很可能在公司里感到别扭。因为他不习惯跟异性在一起。这个不仅仅使他不舒服，而且还会导致工作效率的下降。
 从上面的论述我们可以知道男女一起上课比较合理。现代社会是男女平等的社会。只有从小应该认识异性，理解异性，我们才能持续男女平等。",75.0
200410534533250059,"我觉得男女之间相识以志同道合的方式最为理想。因为彼此之间以兴趣一致所建立的感情，是能细水流长的。
 相同的兴趣，话题接近，感情就能持久。也彼此谅解双方的喜、怒、哀、乐。感情一沟通，爱情就能升温，並能共同建立幸福美满的家，婚姻也幸福。
 要找到兴趣相同的人，当然是在团体中寻得。经过长时间了解对方的家庭背景、教育、处事方面和宗教信仰，那你就能正确的断定对方是否是你的理想伴侣。
 举个例子，如果双方都喜欢画画，男方说要到深山写生，並了解当地的风土民情，一去也许要三个月的时间作画，如果女方也喜欢画画，有着共同的兴趣，她就会了解男方的处境，能为他设想，一个在深山写生；一个在山外教画，默默地支持着对方的理想，那是完美的爱情。女方也不会为了寂寞或柴、米、油、盐等事和男方大吵。
 我坚支赞成男女方以兴趣相识而走在一起是最理想的一对。这种感情最坚贞。",85.0
200307201523200054,"因为经济发展以及生活水平提高，不用化肥和农药的对身体健康无害的“绿色食品”也会被生产的。这可能是很好的消息。但是同是甚至对世界不少的人们来说，农作物受到化学污染的食品也没有不得不挨饿。在任何情况下，最重要的是人的生命。
 可能对不用挨饿的人来说，只活没什么用的。他们之经解决那个问题，所以他们会担心他们的健康。再说，怎么健康地生活是更重要的。但是世界上不是只有这样的人们。为了世界安全，而且想人的道理的活，这个问题应该世界上所有的国家和个人一起参加想办法。
 今天就没有吃的不能活的人，对他们来说有害于人的健康的食品也是他们的生命。所以全世界的强国美国，中国等应合作解决这个问题。而且每个国家无论是有化学污染和食品还是绿色食品第一次想的应该是国民的生命。绿色食品是个人的选择。 
 （）",60.0
199605104523200226,"这故事让我想起一个人在社会上的责任和义务。一个和尚为自己打水自己喝的时候就不觉得烦。因为这时他认为这是应当做的事情。
 第二个和尚来了，这个时候还可以。两个人一起合作去抬水喝，比以前省力而且可能愉快一些。但是第三个和尚来了之后，他们三个就觉得有这个多人没必要非得我来去挑水不可。都心里盼着别人替我去打水。
 这故事值得寻味。问题在于他们三个人不把打水的事情当是自己的事。所以才能退给别人的。在我们的社会生活里不难发现这样的例子。比如说像打掃房间这样的小事，我们留学生大部分两个人住一个房间，一个人住的时候每天整理东西搞卫生不觉得特别烦，费力。但是有了一个同屋之后就希望他也分担我打掃的事情，再进一步希望他多做一次免得使我没有时间学习。再过一会儿就‘阿，她替我做全部的整理打掃工作多好。’
 人喜欢自身的安乐，追求更方便的生活。这是自然的。但是我们不能忘记的是我们应该尽自己应做的最基本的义务。人多了就容易忘记这义务是为我自己的利益一说喝水也可以一而存在的。逃税是为什么发生？夫妻之间互相退辞家务的現象是怎么来的？都是缺乏责任感追求一身的平安的缘固。这种现象蔓延在我们的社会里。",85.0
200305576525200048,"我认为自己从来没有去过一个完全没有声音的环境。我觉得有生命的地方肯定有声音。
 在晚上时在一点也没有光亮的地方，就我一个人也肯定有自己心跳的声音，通风的声音，等等。这样可以感到自己的存在感。但是如果真的没有声音的话…就感到空虚。
 世界上有听不到声音的人。他们出生的时候已经听不见世界上的声音。但是可以感到自己心跳的感觉，可以摸到太鼓，打太鼓的时候有振动感。他们不是用耳朵听到声音，但可以用他们的身体感到声音吧。反而像我用耳朵听声音的人，又听到噪声。噪声让我噪心。不能心里稳定。有时学习很累了，去听音乐自己放松。但我觉得非常累的时候，最好就是睡觉。而且睡觉之前不要听音乐。一边听音乐，一边睡觉的话，我的身体能休息，但我的脑子不能休息。
 这样想，静音是让人们的脑子休息。噪音是让人们噪心。有时心情不好这种情况下听音乐，可以噪心。等于能忘记心情不好的还有一个完全没有声音也对人们不好。因为不能感到生命的存在感。用耳朵不能听声音的人，不算是在一个完全没有声音的环境。他们也用他们的身体能 感到声音的…。噪音，静音都有好处坏处。无音是不可能的。",65.0
200405109525201058,"随着社会道德观念的发达人们对吸烟的评价也是越来越严格了。甚至出现了在公共场所边走边抽烟的人将被罚款的措施。很多喜爱抽烟者反对这个措施，但是我个人认为吸烟对身体很不好，有百害而无一利。
 首先我想看吸烟对个人健康的影响。根据调查吸烟者比非吸烟者的得肺病率得达几倍。可见，吸烟对身体的影响很可恶的。还需要考虑对别人的影响。据理解，烟对吸烟者周围的人的影响比吸咽者更利害。而且对未来的孩子的影响也是很大的。
 第二，我想看吸烟对公众利益的影响。我认为吸烟对青少年的心理，道德教育的影响很大的。因为青少年是很容易受影响大人的，所以在公共场所上禁止抽烟就是帮助增加青少年的道德意识。还有，在公共场所上禁止抽烟是为了保持市容整洁有好处。
 总得来说，吸烟是不好",60.0
200510919501150007,"对于说父母是孩子的第一任老师这个论点，我是非常赞同的。每个人在其成长过程中接触最多的人就是其父母。正所谓人们长说的言传身教，就是指父母平时的言行对孩子的影响最大。人在其幼年期的模仿能力是最强的，所以孩子第一个模仿对象就是其父母。
 就拿我来做个例子。在我很小的时候，那时我姥姥还在世，爸爸妈妈对我姥姥是非常孝顺的。不论工作多么忙，他们总是尽早赶回家给姥姥做饭，并且什么事都顺从姥姥，从不惹她生气。那时候我还很小，可能就是那时候的无形影响，使我现在非常认同孝道。我会尽量做到不惹父母生气，并以努力学习来做为回报父母的恩情。虽然父母从来没有要求过我要如何孝顺他们，但他们曾为姥姥所做的一切！已经成为我学习的榜样。
 我再用一个反例来说一下。我的一个小学同学，他非常的爱打架，总是欺负弱小的同学。有一次他把同学鼻子打出了血，老师实在没办法，只有把她父亲叫来，没想到他父亲就在老师面前把他给打了一顿。现在想想，我的那位同学之所以爱打人，可能就是因为他经常被其父亲打吧。
 总之，父母是对孩子影响最大的人，无论是其行为举止，还是道德素质都是孩子所最先模仿的。做为父母一定要认识到孩子有时就是自己的一面镜子，因为无论好坏，孩子身上的优缺点很多都是从父母身上学来的。",95.0
200505109525201916,“父母是孩子的第一任老师”我完全同意这句说，但是不一定每个家庭的父母对孩子的影响很好，是因为父母也是受他们父母的影响长大了，原来是一个孩子。现在对孩子的教育不太好的，思想还没长大的父亲，母亲有很多。虽然他们身体长大了，已经二十多岁了，但是思想观念还是孩子一样。那那样的父母怎么能教育自己的孩子呢？还有很多受父母的兴趣爱好的影响长大了的孩子。有些艺术家，运动员等等。他们从小时候就开始训练长大了，他们有才能还是他们努力的结果？也可以说受父母的影响。,50.0
200307201523100011,"随着人类，科技、社会的发展，我们的生活水平越来越提高。现在在世界上粮食问题是人们六间的热点话题。这粮食问题是摆在我们面前的课题。那么怎么解决这个问题呢？
我对这粮食问题的看法有三种
 第一是，世界上的各国家毛逐自荐地帮助发展中国家。现在非洲的国家的人民缺少粮食而挨饿。所以联合国的会议上提出关于非洲的粮食问题，帮助非洲国家。现在韩国政府派馈了很多医生和军队。我觉得这是很好的政策。
 第二是，世界人民寻找绿色食品。现在各个国家还用化肥和农药，生产各种农作物。我认为这种农作物给人很大的影响，甚至人们可能会得病，深刻的话，会死。现在的科技不能生产很多的绿色食品。但是科技越来越发展，几十年后可能人世人民都能吃绿色食品。
 第三是，世界上的企业，公司等促进农作物的发展。现代的社会需要很多变化，其中农作物的变化很重要。各个国家一般都有独特的农作物。我们一定要重视吃的问题。这样的话能解决这三种问题。
 归根到底，我希望我们人类通过科技和人们的重大关心，能解决粮食问题，而且通过改变人们的思想，在这地球上完全消失使用化肥和农药的农作物。
 （）",65.0
200203522522150025,"记得小時候，父親对我最爱。每當我在讀書的時候，他一直对我说学问很重要，要好好的唸書。每天晚上都要背書写字，一没有看到我在看書，一句不说就把我打了。我也就害怕的情况下，每天都要看書、背書、背过的也要重过。就这样的成绩也是在班上是名列前茅。
 小時候我不懂为什么要我重温。父親没有回答，只叫我一定要背，不背就挨打。我從来才慢慢的体会到，重温是件好事，四書中说：“温故而知新。”要把每件事都要看的重要，不可以隨隨便便。这些的教诲被逼的成了我一个习惯，做起事情来就很認真。
 我長大後，慢慢体会到：少時不努力，老来塗悲伤。在我高中那年，父親病重。我又是长子。母親又要照顧父親。每天都要往医院跑，父親的工作都要我去做，父親只有一个牧場养牛和羊，我也就在高中時，就每天往牧場跑，又要管理五六個员工。我的年龄又很小，我要管的员工都是四十多岁。当時我很抱怨，不想去牧場但是没办法，只好得去。
 就这样我就慢慢的喜歡上牧場，也想把自己的牧場成为科学的饲养管理。因为那時的饲养方法太傳统。
 当我考上大学后，一心一意地去讀畜牧兽医系，想到畢業后，可以在父親的牧場上發展我的人生路程。
 現在我已畢業，也把大学所学的都应用在牧場，父親說我还要多多学習，但我知道，在他心理，已經充滿着信心和骄傲。我也在他的影响下，安安心心地走完自己的人生，也希望把所学的技术，应用在自己的牧場，也能使周圍的人们，更有很多工作机会。",75.0
199904123525200085,"一九九七年九月，我来到北京，就在北京语言文化大学开始学汉语。但我真没有想到我会念二年级。因为我在日本学过汉语，于是我的分班考试的成绩比较好，老师们就决定使我念二年级了。
可是，其实我在日本时学的是只有汉语的阅读方面，而并不是听力和口头表达方面。所以刚开始上二年级的课时，老师们的讲话我怎么听也听不懂，老师让我回答问题时，我也说不出来。那时候，每天我好难过，简直想哭。于是我考虑到改变到一年级的事。
这是一件很容易的事情。但是结果我还是决定继续念二年级。因为，如果我改变到一年级的话，这不是意味着逃避吗？",65.0
199505104523100127,"若别人问我这种的问题时，我该说那个人就是我的父親  虽其他大部分的人也对父親 影响很大，但我自信比别的人对我父親 的影响很大。
 尽管我家在韩国的西汉城，但在我十九时，就我家搬来了以前我家在一个小鱼村，那个鱼村就是我的老乡虽我父母都在汉城可我和两妹妹在那儿，出生之后上大学一前一直在那儿，那个理由是我父親的主意<主意 是小孩儿该在小村长大，还有人人需要故乡。
 目前大部分的韩国人特别是跟我同年ling的人没有故乡但 ",50.0
